epoch,time,loss,accuracy,val_loss,val_accuracy
0,155.47922682762146,2.949793815612793,0.12997999787330627,2.4711661338806152,0.10000000149011612
1,122.39342045783997,2.430178642272949,0.1651799976825714,2.5520758628845215,0.10019999742507935
2,123.63811230659485,2.245370864868164,0.1867399960756302,2.5231776237487793,0.09950000047683716
3,156.1665861606598,2.1610472202301025,0.20532000064849854,2.396135091781616,0.12449999898672104
4,121.73218369483948,2.111335277557373,0.22519999742507935,2.23126220703125,0.1776999980211258
5,384.7095296382904,2.085326671600342,0.23984000086784363,2.129180908203125,0.21879999339580536
6,478.14300775527954,2.084257125854492,0.24077999591827393,2.09427547454834,0.2345999926328659
7,450.7563886642456,2.0845673084259033,0.24052000045776367,2.084371566772461,0.2395000010728836
8,450.4162492752075,2.084521532058716,0.23997999727725983,2.081382989883423,0.2402999997138977
9,478.7110552787781,2.0843617916107178,0.2408600002527237,2.0805184841156006,0.24079999327659607
10,452.8353247642517,2.08430814743042,0.24011999368667603,2.080099105834961,0.24150000512599945
11,452.68819212913513,2.0842249393463135,0.2401600033044815,2.079986333847046,0.24140000343322754
12,478.743106842041,2.084365129470825,0.24101999402046204,2.0799825191497803,0.24130000174045563
13,453.64366841316223,2.0842089653015137,0.24092000722885132,2.079965829849243,0.24140000343322754
14,453.8412640094757,2.08428692817688,0.24075999855995178,2.079920768737793,0.24140000343322754
15,479.49557185173035,2.0842196941375732,0.24097999930381775,2.0799148082733154,0.24130000174045563
16,452.0616796016693,2.0842833518981934,0.24011999368667603,2.0798213481903076,0.24169999361038208
17,453.69749569892883,2.0843565464019775,0.24065999686717987,2.079819917678833,0.24160000681877136
18,477.8762295246124,2.0846216678619385,0.24079999327659607,2.079904079437256,0.24169999361038208
19,453.9362413883209,2.0846378803253174,0.24070000648498535,2.0798542499542236,0.24160000681877136
