epoch,time,loss,accuracy,val_loss,val_accuracy
0,86.86975383758545,1.8680464029312134,0.34549999237060547,2.5260496139526367,0.13850000500679016
1,86.60827684402466,1.3945775032043457,0.49904000759124756,4.058646202087402,0.12780000269412994
2,87.01544237136841,1.2437185049057007,0.5540800094604492,3.9475624561309814,0.1454000025987625
3,87.16457796096802,1.1507467031478882,0.5889000296592712,3.6965088844299316,0.16920000314712524
4,87.26690769195557,1.082205057144165,0.6160200238227844,1.9212394952774048,0.3619000017642975
5,348.0375473499298,1.3617875576019287,0.5210400223731995,2.079507827758789,0.36719998717308044
6,417.9451503753662,1.5234806537628174,0.4656600058078766,1.6150215864181519,0.4465000033378601
7,416.3219406604767,1.5221586227416992,0.46595999598503113,1.5380196571350098,0.4641000032424927
8,417.7716476917267,1.5226260423660278,0.4656200110912323,1.5356379747390747,0.46219998598098755
9,416.3770909309387,1.5214173793792725,0.46568000316619873,1.5392409563064575,0.46070000529289246
10,415.2792410850525,1.5235031843185425,0.4663800001144409,1.5413609743118286,0.4602000117301941
