epoch,time,loss,accuracy,val_loss,val_accuracy
0,112.57032060623169,2.5573041439056396,0.1742600053548813,2.230397939682007,0.1729000061750412
1,110.21595001220703,2.0849103927612305,0.22845999896526337,2.0196096897125244,0.24089999496936798
2,113.56169199943542,1.9535834789276123,0.2748599946498871,1.9067212343215942,0.2865999937057495
3,109.82120180130005,1.8700556755065918,0.3059200048446655,1.832859992980957,0.3172000050544739
4,109.83533430099487,1.8146984577178955,0.3260999917984009,1.796140193939209,0.3343999981880188
5,113.45358061790466,1.7740240097045898,0.33776000142097473,1.7578507661819458,0.34630000591278076
6,110.33642101287842,1.73916494846344,0.3508000075817108,1.7129212617874146,0.3668000102043152
7,110.10209369659424,1.706018090248108,0.3654400110244751,1.6833505630493164,0.36959999799728394
8,110.41661787033081,1.6777145862579346,0.37428000569343567,1.6560521125793457,0.38589999079704285
9,110.26475524902344,1.647788643836975,0.38787999749183655,1.6418004035949707,0.39100000262260437
10,110.22532176971436,1.6203664541244507,0.3984000086784363,1.6260466575622559,0.396699994802475
11,110.37556672096252,1.5973435640335083,0.4094200134277344,1.5996313095092773,0.40869998931884766
12,109.86736822128296,1.5752190351486206,0.4175400137901306,1.555720329284668,0.42669999599456787
13,110.4837076663971,1.5544414520263672,0.42743998765945435,1.5526779890060425,0.4309000074863434
14,110.28916954994202,1.5359079837799072,0.43421998620033264,1.5344845056533813,0.43959999084472656
15,110.38002252578735,1.5194357633590698,0.44275999069213867,1.515965461730957,0.4424000084400177
16,110.50727462768555,1.5024746656417847,0.448060005903244,1.5989646911621094,0.41110000014305115
17,110.52032041549683,1.486832857131958,0.454800009727478,1.607090711593628,0.4203000068664551
18,110.50162363052368,1.4720635414123535,0.4619399905204773,1.5056126117706299,0.44449999928474426
19,110.54778099060059,1.4551348686218262,0.46511998772621155,1.4897540807724,0.4560999870300293
